AAAI,AAAI,1.000000
AAAI,AAMAS,0.095099
AAAI,ACL,0.066411
AAAI,ACM MM,0.048618
AAAI,ACSAC,0.003771
AAAI,ASE,0.009276
AAAI,ASIACRYPT,0.001027
AAAI,ASPLOS,0.002684
AAAI,CADE/IJCAR,0.008844
AAAI,CAV,0.006790
AAAI,CAiSE,0.003749
AAAI,CCC,0.003081
AAAI,CGO,0.001356
AAAI,CHES,0.000225
AAAI,CHI,0.012715
AAAI,CIDR,0.002442
AAAI,CIKM,0.074112
AAAI,CLUSTER,0.004410
AAAI,CODES+ISSS,0.001999
AAAI,COLING,0.037520
AAAI,COLT,0.011748
AAAI,CONCUR,0.003095
AAAI,CP,0.034030
AAAI,CRYPTO,0.001204
AAAI,CSCW,0.006120
AAAI,CSFW,0.002143
AAAI,CVPR,0.057697
AAAI,CoNEXT,0.002428
AAAI,DAC,0.006703
AAAI,DASFAA,0.020741
AAAI,DATE,0.005874
AAAI,DCC,0.007684
AAAI,DSN,0.003760
AAAI,ECAI,0.059653
AAAI,ECCV,0.037644
AAAI,ECML,0.013127
AAAI,ECOOP,0.001419
AAAI,ECSCW,0.000551
AAAI,EDBT,0.011224
AAAI,EGSR,0.001232
AAAI,EMNLP,0.068425
AAAI,ESA,0.007791
AAAI,ESEM,0.001156
AAAI,ESORICS,0.003106
AAAI,EUROCRYPT,0.000909
AAAI,EuroSys,0.002296
AAAI,EuroVis,0.001272
AAAI,FAST,0.001351
AAAI,FM,0.001975
AAAI,FOCS,0.007604
AAAI,FPGA,0.002812
AAAI,FSE,0.000227
AAAI,FSE/ESEC,0.005264
AAAI,GROUP,0.001877
AAAI,HPCA,0.003025
AAAI,HPDC,0.003652
AAAI,HSCC,0.003318
AAAI,HiPEAC,0.000263
AAAI,HotOS,0.001191
AAAI,ICALP,0.011469
AAAI,ICAPS,0.045651
AAAI,ICASSP,0.018113
AAAI,ICCAD,0.005822
AAAI,ICCBR,0.008095
AAAI,ICCD,0.004836
AAAI,ICCV,0.039372
AAAI,ICDCS,0.012060
AAAI,ICDE,0.026475
AAAI,ICDM,0.060498
AAAI,ICDT,0.005285
AAAI,ICFP,0.000763
AAAI,ICME,0.034061
AAAI,ICML,0.089087
AAAI,ICMR,0.016563
AAAI,ICNP,0.005266
AAAI,ICPC,0.001513
AAAI,ICPP,0.008716
AAAI,ICRA,0.022317
AAAI,ICS,0.004138
AAAI,ICSE,0.007685
AAAI,ICSME,0.003684
AAAI,ICSOC,0.007811
AAAI,ICWS,0.013709
AAAI,IEEE VIS,0.002367
AAAI,IJCAI,0.254196
AAAI,IMC,0.002123
AAAI,INFOCOM,0.014219
AAAI,IPDPS,0.009596
AAAI,IPSN,0.006585
AAAI,ISCA,0.003755
AAAI,ISMAR,0.002235
AAAI,ISSRE,0.002774
AAAI,ISSTA,0.002477
AAAI,ISWC,0.020512
AAAI,ITC,0.001826
AAAI,ITS,0.001302
AAAI,IUI,0.021084
AAAI,IWQoS,0.005693
AAAI,KR,0.039809
AAAI,LCTES,0.000852
AAAI,LICS,0.005729
AAAI,LISA,0.001076
AAAI,MICRO,0.002883
AAAI,MSST,0.001393
AAAI,Middleware,0.001386
AAAI,MoDELS,0.000639
AAAI,MobiCom,0.005676
AAAI,MobiHoc,0.004740
AAAI,MobiSys,0.003557
AAAI,MobileHCI,0.003385
AAAI,NDSS,0.002900
AAAI,NOSSDAV,0.001591
AAAI,NSDI,0.002443
AAAI,NeurIPS,0.080622
AAAI,OOPSLA,0.003342
AAAI,OSDI,0.001575
AAAI,PACT,0.002315
AAAI,PERCOM,0.005536
AAAI,PG,0.001603
AAAI,PKC,0.000420
AAAI,PKDD,0.036538
AAAI,PLDI,0.003497
AAAI,PODC,0.004820
AAAI,PODS,0.009147
AAAI,POPL,0.003780
AAAI,PPSN,0.005084
AAAI,PPoPP,0.003375
AAAI,Performance,0.000146
AAAI,RAID,0.001860
AAAI,RE,0.002620
AAAI,RTAS,0.002056
AAAI,S&P,0.003050
AAAI,SANER,0.002437
AAAI,SAS,0.001833
AAAI,SAT,0.011473
AAAI,SC,0.005347
AAAI,SCA,0.002184
AAAI,SDM,0.036444
AAAI,SECON,0.005643
AAAI,SGP,0.000352
AAAI,SI3D,0.002437
AAAI,SIGCOMM,0.004453
AAAI,SIGGRAPH,0.003322
AAAI,SIGIR,0.044263
AAAI,SIGKDD,0.070485
AAAI,SIGMETRICS,0.005830
AAAI,SIGMOD,0.018081
AAAI,SODA,0.011589
AAAI,SOSP,0.001885
AAAI,SPAA,0.004920
AAAI,SPM,0.001980
AAAI,SRDS,0.002735
AAAI,STOC,0.007883
AAAI,SenSys,0.005444
AAAI,SoCC,0.002424
AAAI,SoCG,0.003513
AAAI,TCC,0.000652
AAAI,UAI,0.060370
AAAI,UIST,0.006208
AAAI,USENIX,0.003248
AAAI,USS,0.003025
AAAI,UbiComp,0.009379
AAAI,VEE,0.001239
AAAI,VLDB,0.009767
AAAI,VMCAI,0.002256
AAAI,VR,0.004560
AAAI,WSDM,0.026603
AAMAS,AAAI,0.095099
AAMAS,AAMAS,1.000000
AAMAS,ACL,0.008028
AAMAS,ACM MM,0.007536
AAMAS,ACSAC,0.002277
AAMAS,ASE,0.006730
AAMAS,ASIACRYPT,0.000737
AAMAS,ASPLOS,0.000870
AAMAS,CADE/IJCAR,0.004256
AAMAS,CAV,0.004866
AAMAS,CAiSE,0.005036
AAMAS,CCC,0.002058
AAMAS,CGO,0.000586
AAMAS,CHES,0.000264
AAMAS,CHI,0.007291
AAMAS,CIDR,0.000644
AAMAS,CIKM,0.012521
AAMAS,CLUSTER,0.001641
AAMAS,CODES+ISSS,0.000980
AAMAS,COLING,0.006387
AAMAS,COLT,0.005047
AAMAS,CONCUR,0.004276
AAMAS,CP,0.015938
AAMAS,CRYPTO,0.001067
AAMAS,CSCW,0.004850
AAMAS,CSFW,0.001326
AAMAS,CVPR,0.005245
AAMAS,CoNEXT,0.001629
AAMAS,DAC,0.001991
AAMAS,DASFAA,0.004086
AAMAS,DATE,0.002100
AAMAS,DCC,0.001773
AAMAS,DSN,0.002137
AAMAS,ECAI,0.072155
AAMAS,ECCV,0.004804
AAMAS,ECML,0.007627
AAMAS,ECOOP,0.001867
AAMAS,ECSCW,0.001121
AAMAS,EDBT,0.003577
AAMAS,EGSR,0.000711
AAMAS,EMNLP,0.007254
AAMAS,ESA,0.007551
AAMAS,ESEM,0.001270
AAMAS,ESORICS,0.002546
AAMAS,EUROCRYPT,0.000481
AAMAS,EuroSys,0.001152
AAMAS,EuroVis,0.000586
AAMAS,FAST,0.000688
AAMAS,FM,0.003031
AAMAS,FOCS,0.005156
AAMAS,FPGA,0.000779
AAMAS,FSE,0.000161
AAMAS,FSE/ESEC,0.003041
AAMAS,GROUP,0.002308
AAMAS,HPCA,0.000852
AAMAS,HPDC,0.002168
AAMAS,HSCC,0.002768
AAMAS,HiPEAC,0.000171
AAMAS,HotOS,0.001128
AAMAS,ICALP,0.009596
AAMAS,ICAPS,0.033873
AAMAS,ICASSP,0.003076
AAMAS,ICCAD,0.001496
AAMAS,ICCBR,0.005111
AAMAS,ICCD,0.001341
AAMAS,ICCV,0.004176
AAMAS,ICDCS,0.007408
AAMAS,ICDE,0.006823
AAMAS,ICDM,0.009486
AAMAS,ICDT,0.002001
AAMAS,ICFP,0.000534
